date,city,emd,code,money,market,readPop,workPop,visitPop
20170100,제주시,구좌읍,G47212,5209349,342,13655,1212,9815
20170100,제주시,구좌읍,G47129,188382550,103,13655,1212,9815
20170100,제주시,조천읍,I55112,42063260,1610,20311,2196,15505
20170100,제주시,조천읍,G47813,4459270,1091,20311,2196,15505
20170100,제주시,조천읍,I55111,16048590,71,20311,2196,15505
20170100,제주시,조천읍,G47842,16540400,198,20311,2196,15505
20170100,제주시,조천읍,I56112,22582336,234,20311,2196,15505
20170100,제주시,조천읍,I56111,712535255,6259,20311,2196,15505
20170100,제주시,조천읍,G47214,19750500,888,20311,2196,15505
20170100,제주시,조천읍,G47215,34943172,392,20311,2196,15505
20170100,제주시,조천읍,G47213,648000,563,20311,2196,15505
20170100,제주시,조천읍,G47711,474086396,214,20311,2196,15505
20170100,제주시,조천읍,G47712,23611955,90,20311,2196,15505
20170100,제주시,조천읍,L69210,53397400,597,20311,2196,15505
20170100,제주시,조천읍,G47190,186744140,109,20311,2196,15505
20170100,제주시,조천읍,I56220,18140360,397,20311,2196,15505
20170100,제주시,조천읍,S96121,5476500,59,20311,2196,15505
20170100,제주시,조천읍,R91139,3950000,28,20311,2196,15505
20170100,제주시,조천읍,R91121,132023650,29,20311,2196,15505
20170100,제주시,조천읍,I55113,225980330,25,20311,2196,15505
20170100,제주시,조천읍,G47216,170000,233,20311,2196,15505
20170100,제주시,조천읍,N75992,128319800,180,20311,2196,15505
20170100,제주시,조천읍,N75211,320000,621,20311,2196,15505
20170100,제주시,조천읍,I56114,36797800,905,20311,2196,15505
20170100,제주시,조천읍,I56113,47357700,293,20311,2196,15505
20170100,제주시,조천읍,I56211,6768000,632,20311,2196,15505
20170100,제주시,조천읍,I56192,20311440,231,20311,2196,15505
20170100,제주시,조천읍,I56219,5065000,509,20311,2196,15505
20170100,제주시,조천읍,I56119,5886500,148,20311,2196,15505
20170100,제주시,조천읍,G47122,121831100,738,20311,2196,15505
20170100,제주시,조천읍,G47121,221333940,490,20311,2196,15505
20170100,제주시,조천읍,G47212,45180294,342,20311,2196,15505
20170100,제주시,조천읍,G47129,92953140,103,20311,2196,15505
20170100,제주시,한경면,I55112,3037500,1610,6166,493,3588
20170100,제주시,한경면,G47813,77500,1091,6166,493,3588
20170100,제주시,한경면,G47842,1515600,198,6166,493,3588
20170100,제주시,한경면,I56112,11078000,234,6166,493,3588
20170100,제주시,한경면,I56111,165488900,6259,6166,493,3588
20170100,제주시,한경면,G47214,24319700,888,6166,493,3588
20170100,제주시,한경면,G47215,462500,392,6166,493,3588
20170100,제주시,한경면,G47213,8019000,563,6166,493,3588
20170100,제주시,한경면,G47711,187558268,214,6166,493,3588
20170100,제주시,한경면,G47712,8863440,90,6166,493,3588
20170100,제주시,한경면,L69210,1636400,597,6166,493,3588
20170100,제주시,한경면,I56220,1010400,397,6166,493,3588
20170100,제주시,한경면,S96121,2931500,59,6166,493,3588
20170100,제주시,한경면,R91121,140348900,29,6166,493,3588
20170100,제주시,한경면,I55113,40000,25,6166,493,3588
20170100,제주시,한경면,N75992,12230100,180,6166,493,3588
20170100,제주시,한경면,I56114,13742200,905,6166,493,3588
20170100,제주시,한경면,I56113,1570500,293,6166,493,3588
20170100,제주시,한경면,I56192,12953880,231,6166,493,3588
20170100,제주시,한경면,I56219,2021000,509,6166,493,3588
20170100,제주시,한경면,G47122,38120070,738,6166,493,3588
20170100,제주시,한경면,G47121,66287740,490,6166,493,3588
20170100,제주시,한경면,G47212,693000,342,6166,493,3588
20170100,제주시,한경면,G47129,70060840,103,6166,493,3588
20170100,제주시,추자면,I55112,5350000,1610,1526,77,1154
20170100,제주시,추자면,I56112,1283000,234,1526,77,1154
20170100,제주시,추자면,I56111,17439000,6259,1526,77,1154
20170100,제주시,추자면,G47214,10803400,888,1526,77,1154
20170100,제주시,추자면,G47213,3955500,563,1526,77,1154
20170100,제주시,추자면,G47711,7165150,214,1526,77,1154
20170100,제주시,추자면,G47712,2007000,90,1526,77,1154
20170100,제주시,추자면,L69210,299000,597,1526,77,1154
20170100,제주시,추자면,I56211,5200000,632,1526,77,1154
20170100,제주시,추자면,I56219,10980000,509,1526,77,1154
20170100,제주시,추자면,G47122,7507170,738,1526,77,1154
20170100,제주시,추자면,G47121,11970675,490,1526,77,1154
20170100,제주시,추자면,G47212,155000,342,1526,77,1154
20170100,제주시,우도면,I55112,3620460,1610,1401,98,1313
20170100,제주시,우도면,I56111,135387650,6259,1401,98,1313
20170100,제주시,우도면,G47214,8577500,888,1401,98,1313
20170100,제주시,우도면,G47215,4746000,392,1401,98,1313
20170100,제주시,우도면,G47213,4176000,563,1401,98,1313
20170100,제주시,우도면,G47711,11541456,214,1401,98,1313
20170100,제주시,우도면,G47712,2117000,90,1401,98,1313
20170100,제주시,우도면,L69210,9555000,597,1401,98,1313
20170100,제주시,우도면,I56220,12631200,397,1401,98,1313
20170100,제주시,우도면,H50121,146912400,10,1401,98,1313
20170100,제주시,우도면,N75211,11576000,621,1401,98,1313
20170100,제주시,우도면,I56114,7943400,905,1401,98,1313
20170100,제주시,우도면,I56113,3413000,293,1401,98,1313
20170100,제주시,우도면,I56192,2074000,231,1401,98,1313
20170100,제주시,우도면,I56219,1827000,509,1401,98,1313
20170100,제주시,우도면,G47122,2769350,738,1401,98,1313
20170100,제주시,우도면,G47121,12138030,490,1401,98,1313
20170100,제주시,우도면,G47212,1510100,342,1401,98,1313
20170100,제주시,우도면,G47129,11851260,103,1401,98,1313
20170100,제주시,일도일동,I55112,19399344,1610,1348,348,3967
20170100,제주시,일도일동,G47813,57193080,1091,1348,348,3967
20170100,제주시,일도일동,I55111,2334000,71,1348,348,3967
20170100,제주시,일도일동,G47842,4091000,198,1348,348,3967
20170100,제주시,일도일동,I56112,10499500,234,1348,348,3967
20170100,제주시,일도일동,I56111,203505640,6259,1348,348,3967
20170100,제주시,일도일동,G47215,19599400,392,1348,348,3967
20170100,제주시,일도일동,G47213,402570678,563,1348,348,3967
20170100,제주시,일도일동,G47214,133206700,888,1348,348,3967
20170100,제주시,일도일동,L69210,1331398500,597,1348,348,3967
20170100,제주시,일도일동,G47190,150000,109,1348,348,3967
20170100,제주시,일도일동,I56220,13381950,397,1348,348,3967
20170100,제주시,일도일동,S96121,595800,59,1348,348,3967
20170100,제주시,일도일동,G47216,591000,233,1348,348,3967
20170100,제주시,일도일동,N75992,160000,180,1348,348,3967
20170100,제주시,일도일동,N75211,5207050,621,1348,348,3967
20170100,제주시,일도일동,I56114,15570320,905,1348,348,3967
20170100,제주시,일도일동,I56113,25793000,293,1348,348,3967
20170100,제주시,일도일동,I56211,5246000,632,1348,348,3967
20170100,제주시,일도일동,I56192,18804803,231,1348,348,3967
20170100,제주시,일도일동,I56219,20836000,509,1348,348,3967
20170100,제주시,일도일동,I56119,9499000,148,1348,348,3967
20170100,제주시,일도일동,G47122,64303550,738,1348,348,3967
